Ref,Val,Package,PosX,PosY,Rot,Side
"","","5ca960f4-6581-4d8d-93d4-aec265c8b1d9",22.199999,-107.350000,0.000000,top
"","","5ca960f4-6581-4d8d-93d4-aec265c8b1d9",22.199999,-59.400000,0.000000,top
"","","5ca960f4-6581-4d8d-93d4-aec265c8b1d9",89.350000,-144.950000,0.000000,top
"","","5ca960f4-6581-4d8d-93d4-aec265c8b1d9",89.350000,-107.350000,0.000000,top
"C1","10uF","C_0201_0603Metric",55.350000,-26.680000,0.000000,top
"C2","2.2 nF","C_0201_0603Metric",80.455000,-156.860000,0.000000,top
"C3","0.1 µF","C_0201_0603Metric",79.540000,-163.620000,0.000000,top
"C5","10u","C_0805_2012Metric",81.890000,-165.580000,90.000000,top
"D2","D","D_0201_0603Metric",81.645000,-155.550000,0.000000,top
"DisplayRefrence","","logo and phone refrence",56.300000,-184.500000,0.000000,top
"DisplayRefrence","","logo and phone refrence",31.750000,-175.940000,0.000000,top
"J1","USB_C_Receptacle","USB_C_Receptacle_Molex_105450-0101",55.650000,-21.800000,180.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x02_P1.00mm_Horizontal",19.675000,-117.550000,0.000000,top
"J3","Conn_01x05_Pin","PinHeader_1x05_P1.00mm_Horizontal",62.925000,-19.830000,0.000000,top
"J4","Conn_01x22_Female","Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal",88.400000,-175.650000,90.000000,top
"J6","Conn_01x05_Pin","PinHeader_1x05_P1.00mm_Horizontal",86.900000,-59.725000,90.000000,top
"J8","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",82.310000,-149.710000,-90.000000,top
"J15","Conn_01x22_Female","Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal",90.300000,-158.500000,-90.000000,top
"L1","L","L_0201_0603Metric",76.370000,-155.600000,90.000000,top
"R1","5.1K","R_0201_0603Metric",59.450000,-26.630000,0.000000,top
"R2","5.1K","R_0201_0603Metric",57.550000,-26.630000,0.000000,top
"R3","0 Ω","R_0201_0603Metric",53.305000,-26.680000,0.000000,top
"R5","22 µF","R_0201_0603Metric",85.600000,-143.360000,90.000000,top
"R7","22 µF","R_0201_0603Metric",84.170000,-156.150000,90.000000,top
"R17","nf","R_0402_1005Metric",84.280000,-164.840000,90.000000,top
"R18","nf","R_0402_1005Metric",84.190000,-168.090000,-90.000000,top
"R29","12K 1%","R_0402_1005Metric",77.010000,-169.520000,180.000000,top
"R_bottom1","15 kΩ","R_0201_0603Metric",85.250000,-147.120000,90.000000,top
"R_top1","110 kΩ","R_0201_0603Metric",86.670000,-149.000000,180.000000,top
"U1","ComputeModule4","Raspberry-Pi-4-Compute-Module-Connector-Phone-Modified",22.200000,-145.580000,-90.000000,top
"U2","BQ24074RGT","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",82.000000,-144.437500,-90.000000,top
"U4","MPU-9150","InvenSense_QFN-24_4x4mm_P0.5mm",79.230000,-160.200000,0.000000,top
"U5","MT3608","SOT-23-6",76.990000,-144.650000,0.000000,top
"U18","RT9742GGJ5","SOT-23-5",76.950000,-166.410000,-90.000000,top
